pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
Malta,18451518873.398354,519245.3043478261,35438.88509154672,5.41018111187646,2.7642762924032924,82.54909862142102,94.01217518682061,2314776702359.958,2014145146354.297,0.9155951026075726,55090,234121.09812537977,4,6
Marrocos,131442543285.20532,36955904.666666664,3503.120930989587,0.8345783451767265,2.9216565095163305,73.893,76.4499994913737,4770407916836.257,6004231381711.62,0.6949911067049692,38,136.7686481546481,1,3
"Marshall, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126319,435360.44304943504,4,6
Martinica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223524,597660.627753379,2,4
Mauricio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,80827.84049079755,1,1
Mauritania,5492048441.724855,3721790.75,1299.0689629502247,0.5168552301732998,3.935232824371175,64.35875,58.97999954223635,205940147597.76654,252991360906.79028,0.5268181141479585,5443,6019.467198606464,3,3
Mexico,1125692053745.7634,115321334.42857143,9492.345582443397,2.091637448384599,6.972964226260226,72.97148571428572,93.51428571428572,38299456368320.82,39863077352368.52,0.7738618396030955,2018133,5640899.619819814,4,22
Mocambique,11688174276.54066,24780280.6,452.8958120712958,5.695263213356737,4.623086223959978,55.7678,52.8,439993499320.46497,767830421896.9143,0.38803091379635457,25501,27677.46654196547,2,5
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,151.93849185982575,2,2
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,18.18058351461105,1,1
Montenegro,5503965419.091577,620212.0,8875.463234165814,3.660430640887338,1.356208605852895,74.8348432055749,98.78903089250836,213612932820.9156,342924521150.9616,0.83225376961613,126,501.95906070420267,4,3
Namibia,7952528628.7595,2001842.0,3969.247341945387,4.084083338150383,5.445918678386778,53.49333333333334,82.16219584147137,372576726915.66925,397243186647.24,0.5847167388408396,476,1429.3837085520452,2,3
Nicaragua,8943859918.660017,5737700.666666667,1557.7841305327001,2.47860991801541,5.7415079482844,71.76433333333334,78.0,358814896565.1568,539191987915.23016,0.6087790145279496,83,120.52587802971489,2,3
Nigeria,317481956386.3512,169229756.5,1733.105832330554,3.034822591816041,20.882098349947515,50.55432352941176,57.91028179841883,0.0,0.0,0.45529668792164046,328281,699702.6907915302,4,23
Noruega,336113508894.3397,4852076.066666666,66531.90324334559,2.222054651532335,3.3961624349921595,80.29825691056911,95.0,13983434107799.691,10030290937638.102,0.0,16713453,65610091.42759428,4,41
Nova Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8151,15071.473192604348,2,1
Nova Zelandia,177749276684.43796,4543873.529411765,37956.79297196631,2.7654964660460313,2.589827233840323,80.86177905308466,95.0,4792206869370.773,4864334250452.423,0.0,500065,1585148.0238549784,3,20
Oma,96964499349.8049,4643547.5,20824.082106614074,3.6614634294151074,1.2741743639099552,78.38275,96.5,5296228868660.594,3981079323797.137,0.8922340852134201,397,1571.9339251435476,2,3
Outros(1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77754,330656.84776446904,1,22
Paises Baixos,583240402014.5785,15908367.36036036,35410.138735716,2.204254481227984,2.6346176952627443,78.82075807514832,95.0,42675867045954.54,37663551621056.21,0.0,593432740,1588694311.3188813,3,50
Palau,281849062.5,17727.0,15899.4224911152,1.87706979817723,12.8199748216534,69.269,97.0,3441080000.000007,18983859999.999992,0.823878333908968,160,463.2724760585753,2,1
Panama,43202509368.75,3635127.9166666665,10626.341187133707,4.156371197025599,1.4956230247064946,75.83154166666667,93.41666666666667,2032294105416.666,1985879490833.3337,0.7884056164535261,265053,860543.4671131595,4,27
Paquistao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988,8882.304553538828,2,4
Paraguai,15516749908.630884,4671719.512345679,2782.5837986437264,4.332238672750123,11.199173560042077,68.8198148148148,90.54320987654322,598525610819.188,549976610383.15,0.5464719604182714,123248329,164552265.80919233,4,54
Peru,157425550796.97818,28731216.85714286,5037.216073413706,2.7879432947406984,26.49482130097155,72.0574761904762,90.38095238095238,4085423991060.626,3768619509552.2,0.7260158722165857,218586,574469.9147014704,3,16
Pitcairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,92.65449521171506,2,1
Polonia,560604451244.9155,37792719.06451613,14872.389320882563,3.2510533432875235,3.7720107841435566,76.8195908733281,99.39677724530618,27593969320328.26,26611936057101.55,0.16945421222037801,243342,1115082.3071409713,4,17
Porto Rico,58993036008.10811,3582147.3513513515,16356.644532357594,2.3114651099952073,0.0,75.59205405405405,89.88648656896643,3615338378378.378,2644225405405.4053,0.7780087683271043,9048208,27122475.848717436,4,35
Portugal,186583479513.92685,10291028.986486487,17972.689775451465,1.9954033846130863,4.036806651236661,78.36489782465394,90.62648628853462,6797243745644.937,7519664453179.909,0.8114545631531849,2228546,4334728.469976249,4,38
Provisao de Navios e Aeronaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,68.70734388129364,1,1
Quenia,48119160058.903786,41290521.86666667,1079.4159809572088,4.7645119303834536,9.291446891147585,60.2684,78.55254974365235,844584520845.5331,1339382459230.5942,0.4828071375269514,40076,168152.98892895377,3,10
Quirguistao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,124.56882134019469,1,1
Reino Unido,2027317545388.9045,61414285.5,32175.65157420102,2.015535770064528,3.873305293477412,78.43574837398373,95.0,57568195475128.07,59830655230354.92,0.0,262050234,831388126.2672218,4,47
Republica Centro Africana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,371.35463907603463,1,1
